final_cash,total_borrow,total_invest,objective,scenario
5000000.0,4978542.4,522018.161,-47175.33319500001,482
5000000.0,5026213.3,369632.9932,-48413.968034,483
5000000.0,4900888.9,418767.141,-46915.053295000005,484
5000000.0,5045607.678,182609.845,-49543.027555,485
5000000.0,4936619.5,402199.7384,-47355.196308,486
5000000.0,4925417.1,580857.318,-46349.88441,487
5000000.0,5058335.8,423069.96140000003,-48468.008192999994,488
5000000.0,4952111.1,480860.168,-47116.81015999999,489
5000000.0,4926718.1,598875.248,-46272.804760000006,490
5000000.0,4883789.6,427973.591,-46698.028045,491
5000000.0,4976481.8,325650.501,-48136.565495,492
5000000.0,4976028.7,412369.809,-47698.437954999994,493
5000000.0,4966506.3,489630.647,-47216.90976500001,494
5000000.0,4999493.0,428373.147,-47853.064265,495
5000000.0,5021197.8,361068.31299999997,-48406.63643500001,496
5000000.0,4931583.1,498725.35,-46822.20425,497
5000000.0,4905126.4,673812.417,-45682.201915000005,498
